research_field,topic_words,topic_label
Aviation and Space Education,"aerodynamics, aircraft, systems, flight, principles",Aviation Fundamentals
Aviation and Space Education,"crew, human, factors, decision-making, safety",Human Factors and Safety
Aviation and Space Education,"faa, regulations, airspace, control, navigation",Air Traffic Regulations
Aviation and Space Education,"rocket, orbital, dynamics, spacecraft, engineering",Spaceflight and Orbital Mechanics
Aviation and Space Education,"meteorology, weather, forecasting, reporting, conditions",Aviation Weather Theory
Aviation and Space Education,"maintenance, engines, troubleshooting, avionics, inspection",Aircraft Maintenance Management
Aviation and Space Education,"pilot, training, simulator, curriculum, assessment",Flight Training Pedagogy
Aviation Safety and Security,"human, factors, performance, fatigue, error",Aviation Human Factors and Performance
Aviation Safety and Security,"risk, management, safety, analysis, mitigation",Safety Risk Management
Aviation Safety and Security,"incident, accident, investigation, causal, reporting",Accident and Incident Investigation
Aviation Safety and Security,"security, threat, screening, cargo, checkpoint",Airport and Cargo Security
Aviation Safety and Security,"terrain, cfits, avoidance, warning, navigation",Controlled Flight Into Terrain (CFIT)
Aviation Safety and Security,"uas, drone, airspace, integration, regulation",Unmanned Aircraft System (UAS) Safety
Aviation Safety and Security,"sms, culture, auditing, compliance, standard",Safety Management Systems (SMS)
Management and Operations,"supply, chain, logistics, procurement, inventory",Supply Chain Management
Management and Operations,"quality, lean, six, sigma, improvement",Quality and Process Improvement
Management and Operations,"project, scheduling, risk, scope, agile",Project Management Methods
Management and Operations,"resource, allocation, capacity, planning, optimization",Resource and Capacity Planning
Management and Operations,"decision, making, analytics, modeling, simulation",Decision Making and Modeling
Management and Operations,"workflow, automation, process, design, reengineering",Business Process Design
Management and Operations,"performance, metrics, kpi, measurement, evaluation",Performance Metrics and Evaluation
Bioelectrical and Neuroengineering,"bci, eeg, ephys, interface, control",Brain-Computer Interface Systems
Bioelectrical and Neuroengineering,"stimulation, deep, tms, tacs, modulation",Neuromodulation and Brain Stimulation
Bioelectrical and Neuroengineering,"electrode, implant, microelectrode, array, sensing",Neural Electrode Technology
Bioelectrical and Neuroengineering,"prothesis, limb, robotic, myoelectric, rehabilitation",Neuroprosthetics and Rehabilitation
Bioelectrical and Neuroengineering,"action, potential, membrane, ion, channel",Cellular Neurophysiology
Bioelectrical and Neuroengineering,"circuit, network, computational, modeling, simulation",Computational Neural Circuits
Bioelectrical and Neuroengineering,"imaging, mri, fmri, pet, tomography",Neuroimaging Techniques
Bioimaging and Biomedical Optics,"fluorescence, microscopy, live-cell, super-resolution, imaging",Fluorescence Microscopy Techniques
Bioimaging and Biomedical Optics,"optical, coherence, tomography, tissue, depth",Optical Coherence Tomography (OCT)
Bioimaging and Biomedical Optics,"photoacoustic, imaging, ultrasound, light, absorption",Photoacoustic Imaging Methods
Bioimaging and Biomedical Optics,"fret, biosensors, molecular, interactions, quantification",Molecular Biosensing and FRET
Bioimaging and Biomedical Optics,"spectroscopy, raman, infrared, chemical, analysis",Biomedical Spectroscopy Analysis
Bioimaging and Biomedical Optics,"endoscopy, miniature, probes, clinical, diagnosis",Clinical Endoscopy and Probes
Bioimaging and Biomedical Optics,"image, processing, segmentation, denoising, quantification",Image Processing and Analysis
Biological Engineering,"scaffold, cells, bioreactor, regenerative, organ",Tissue Engineering and Regeneration
Biological Engineering,"prosthetics, devices, implants, biocompatibility, materials",Biomedical Devices and Implants
Biological Engineering,"force, motion, fluid, mechanical, analysis",Biomechanical System Analysis
Biological Engineering,"genetic, circuit, pathway, design, reprogramming",Synthetic Biology Design
Biological Engineering,"sensing, detection, analyte, response, bioinstrumentation",Biosensors and Bioinstrumentation
Biological Engineering,"polymer, hydrogel, ceramic, composite, surface",Biomaterials Development
Biological Engineering,"fermentation, scaleup, bioprocess, production, yield",Bioprocessing and Biomanufacturing
Biomedical Devices and Instrumentation,"biosensors, detection, monitoring, assay, point-of-care",Biosensors and Point-of-Care
Biomedical Devices and Instrumentation,"implants, biomaterials, compatibility, prosthetics, artificial",Medical Implants and Biomaterials
Biomedical Devices and Instrumentation,"imaging, mri, ultrasound, ct, diagnostic",Biomedical Imaging Technology
Biomedical Devices and Instrumentation,"microfluidics, lab-on-a-chip, miniaturization, sample, analysis",Microfluidic Diagnostics
Biomedical Devices and Instrumentation,"wearable, health, remote, telemedicine, data",Wearable Health Monitoring
Biomedical Devices and Instrumentation,"surgical, robotics, automation, minimally, invasive",Surgical Robotics and Automation
Biomedical Devices and Instrumentation,"stimulation, neuroprosthetics, interface, electrical, rehabilitation",Neuroprosthetics and Stimulation
"Molecular, Cellular, and Tissue Engineering","scaffold, biomaterial, porosity, degradation, hydrogel",Biomaterial Scaffold Design
"Molecular, Cellular, and Tissue Engineering","stem, differentiation, pluripotent, niche, regeneration",Stem Cell Differentiation & Regeneration
"Molecular, Cellular, and Tissue Engineering","mechanotransduction, forces, extracellular, matrix, microenvironment",Cellular Mechanotransduction & ECM
"Molecular, Cellular, and Tissue Engineering","organ, on-a-chip, microfluidics, disease, modeling",Organ-on-a-Chip Modeling
"Molecular, Cellular, and Tissue Engineering","vascularization, angiogenesis, blood, vessels, perfusion",Tissue Vascularization
"Molecular, Cellular, and Tissue Engineering","molecular, signaling, pathway, receptor, ligand",Molecular Signaling Pathways
"Molecular, Cellular, and Tissue Engineering","bioreactor, culture, optimization, scale-up, proliferation",Bioreactor Culture Optimization
Systems and Integrative Engineering,"modeling, simulation, analysis, optimization, process",System Modeling and Optimization
Systems and Integrative Engineering,"architecture, design, requirements, integration, verification",System Design and Integration
Systems and Integrative Engineering,"lifecycle, management, risk, project, complexity",Systems Lifecycle Management
Systems and Integrative Engineering,"interoperability, heterogeneous, framework, interface, platform",Interdisciplinary System Integration
Systems and Integrative Engineering,"human-factors, cognitive, ergonomics, interaction, usability",Human-Systems Integration
Systems and Integrative Engineering,"control, feedback, dynamics, stability, automation",System Control and Dynamics
Systems and Integrative Engineering,"data, information, databases, decision, architecture",Information System Architectures
Biochemical and Biomolecular Engineering,"bioreactor, design, scale-up, optimization, fermentation",Bioreactor Design and Scale-Up
Biochemical and Biomolecular Engineering,"metabolic, pathway, engineering, flux, modeling",Metabolic Pathway Engineering
Biochemical and Biomolecular Engineering,"protein, purification, chromatography, separation, downstream",Protein Purification and Separation
Biochemical and Biomolecular Engineering,"biosensors, detection, analyte, response, monitoring",Biosensor Development and Monitoring
Biochemical and Biomolecular Engineering,"drug, delivery, nanoparticles, targeting, controlled",Targeted Drug Delivery Systems
Biochemical and Biomolecular Engineering,"enzyme, kinetics, immobilization, catalysis, activity",Enzyme Kinetics and Catalysis
Biochemical and Biomolecular Engineering,"tissue, scaffold, regenerative, biomaterials, culture",Regenerative Tissue Engineering
Catalysis and Reaction Engineering,"heterogeneous, kinetics, surface, adsorption, mechanism",Heterogeneous Catalysis Kinetics
Catalysis and Reaction Engineering,"reactor, design, modeling, simulation, scale-up",Chemical Reactor Design & Modeling
Catalysis and Reaction Engineering,"homogeneous, organometallic, ligand, synthesis, transition",Homogeneous Organometallic Catalysis
Catalysis and Reaction Engineering,"zeolite, pore, microporous, framework, acidic",Zeolite Catalysis and Materials
Catalysis and Reaction Engineering,"photocatalysis, light, semiconductor, oxidation, reduction",Photocatalytic Reaction Engineering
Catalysis and Reaction Engineering,"biocatalysis, enzyme, fermentation, bioreactor, activity",Biocatalysis and Bioreactors
Catalysis and Reaction Engineering,"fluidization, multiphase, mixing, transport, mass",Multiphase Reactor Systems
Membrane Science,"reverse, osmosis, desalination, pressure, water",Reverse Osmosis Desalination
Membrane Science,"ultrafiltration, pore, size, sieving, separation",
Membrane Science,"fouling, cleaning, surface, hydrophilicity, mitigation",Membrane Fouling Mitigation
Membrane Science,"polymer, material, composite, nanofiber, fabrication",Polymer Membrane Materials
Membrane Science,"gas, separation, permeability, selectivity, transport",Gas Separation Membranes
Membrane Science,"electrodialysis, ion, exchange, current, potential",Ion Exchange and Electrodialysis
Membrane Science,"forward, osmosis, draw, solute, flux",Forward Osmosis Processes
Petroleum Engineering,"reservoir, simulation, pressure, permeability, fluid",Reservoir Simulation Modeling
Petroleum Engineering,"drilling, wellbore, mud, operations, geology",Drilling Engineering Operations
Petroleum Engineering,"production, completion, flow, optimization, artificial",Oil Production Optimization
Petroleum Engineering,"enhanced, recovery, co2, thermal, chemical",Enhanced Oil Recovery (EOR)
Petroleum Engineering,"petroleum, rock, porosity, saturation, hydrocarbon",Petrophysics and Rock Properties
Petroleum Engineering,"fracturing, shale, unconventional, hydraulic, stimulation",Hydraulic Fracturing Technology
Petroleum Engineering,"gas, liquefied, natural, lng, lpg",Natural Gas Processing
Polymer Science,"monomer, initiation, propagation, termination, kinetics",Polymer Reaction Kinetics
Polymer Science,"crystallinity, glass, transition, melting, amorphous",Polymer Thermal Transitions
Polymer Science,"strength, modulus, viscoelasticity, deformation, rheology",Polymer Mechanical Properties
Polymer Science,"biodegradable, compostable, biobased, recyclable, sustainability",Sustainable Polymer Materials
Polymer Science,"filler, matrix, nanocomposite, reinforcement, interface",Polymer Composites & Nanocomposites
Polymer Science,"chain, molecular, weight, distribution, spectroscopy",Polymer Characterization
Polymer Science,"plastics, elastomers, fibers, adhesives, coatings",Polymer Materials Applications
Thermodynamics,"entropy, disorder, spontaneous, irreversible, change",Second Law and Entropy
Thermodynamics,"enthalpy, internal, energy, heat, work",First Law Applications
Thermodynamics,"temperature, heat, transfer, equilibrium, zero",Thermal Equilibrium & Heat
Thermodynamics,"gibbs, helmholtz, potential, reaction, free",Thermodynamic Potentials
Thermodynamics,"system, boundary, surroundings, closed, open",Thermodynamic System Analysis
Thermodynamics,"engine, cycle, efficiency, carnot, refrigerator",Thermodynamic Cycles & Engines
Thermodynamics,"statistical, microstate, ensemble, partition, mechanics",Statistical Thermodynamics
Transport Phenomena,"navier, stokes, fluid, momentum, viscosity",Fluid Momentum Transfer
Transport Phenomena,"fick's, diffusion, mass, concentration, molecular",Mass Diffusion & Fick's Law
Transport Phenomena,"fourier's, conduction, heat, thermal, energy",Heat Conduction & Energy
Transport Phenomena,"convection, boundary, layer, transfer, flow",Convective Transport Phenomena
Transport Phenomena,"reynolds, prandtl, schmidt, dimensionless, numbers",Dimensionless Transport Numbers
Transport Phenomena,"analogy, heat, mass, momentum, comparison",Heat-Mass-Momentum Analogy
Transport Phenomena,"interfacial, surfaces, phase, transfer, kinetics",Interfacial Transport Kinetics
Other Chemical Engineering,"mass, energy, balance, unit, operations",Fundamental Chemical Processes
Other Chemical Engineering,"kinetics, reactor, reaction, catalysis, design",Chemical Reaction Engineering
Other Chemical Engineering,"distillation, absorption, extraction, separation, membranes",Mass Transfer Operations
Other Chemical Engineering,"heat, transfer, exchanger, convection, conduction",Heat Transfer Principles
Other Chemical Engineering,"fluid, dynamics, flow, viscosity, pumps",Fluid Mechanics and Flow
Other Chemical Engineering,"process, control, monitoring, optimization, automation",Chemical Process Control
Other Chemical Engineering,"thermodynamic, equilibrium, pressure, enthalpy, entropy",Applied Chemical Thermodynamics
Civil Engineering,"seismic, earthquake, structure, design, vulnerability",Earthquake Resistant Design
Civil Engineering,"pavement, asphalt, concrete, rehabilitation, traffic",Transportation Pavement Engineering
Civil Engineering,"water, treatment, wastewater, quality, purification",Water and Wastewater Treatment
Civil Engineering,"soil, mechanics, foundation, stability, geotechnical",Geotechnical Soil Mechanics
Civil Engineering,"bridge, loads, fatigue, monitoring, inspection",Bridge Structure Analysis
Civil Engineering,"hydrology, flood, drainage, runoff, modeling",Hydrologic Flood Modeling
Civil Engineering,"bim, construction, management, scheduling, cost",BIM Construction Management
Environmental Engineering,"water, wastewater, treatment, sewage, disposal",Water and Wastewater Treatment
Environmental Engineering,"air, pollution, control, emissions, management",Air Pollution Control
Environmental Engineering,"solid, waste, management, landfill, recycling",Solid Waste Management
Environmental Engineering,"remediation, site, hazardous, contaminants, cleanup",Hazardous Waste Site Remediation
Environmental Engineering,"impact, assessment, mitigation, ecological, risk",Environmental Impact Assessment
Environmental Engineering,"hydrology, groundwater, aquifer, flow, modeling",Groundwater Hydrology and Modeling
Environmental Engineering,"chemistry, chemical, reactions, pollutant, inorganic",Environmental Chemistry Processes
Transportation Engineering,"traffic, flow, signals, optimization, control",Traffic Flow Optimization
Transportation Engineering,"highway, pavement, design, maintenance, infrastructure",Highway Pavement Engineering
Transportation Engineering,"safety, crash, risk, analysis, collision",Transportation Safety Analysis
Transportation Engineering,"planning, demand, forecasting, modeling, mobility",Transportation Planning and Demand
Transportation Engineering,"rail, track, freight, transit, system",Rail and Transit Systems
Transportation Engineering,"intelligent, systems, connected, data, sensor",Intelligent Transportation Systems
Transportation Engineering,"geometric, alignment, cross-section, curves, sight",Geometric Road Design
Other Civil and Environmental Engineering,"geophysics, mechanics, energy, geomechanics, subsurface",Geomechanics and Energy
Other Civil and Environmental Engineering,"systems, resilience, risk, infrastructure, mitigation",Risk and Resilient Systems
Other Civil and Environmental Engineering,"computation, algorithms, modeling, simulations, mechanics",Computational Mechanics & Modeling
Other Civil and Environmental Engineering,"health, exposure, pollutants, epidemiology, toxicology",Environmental Health Exposure
Other Civil and Environmental Engineering,"sustainability, metrics, assessment, life-cycle, green",Sustainable Engineering Metrics
Other Civil and Environmental Engineering,"urban, smart, sensing, automation, cities",Smart and Future Cities
Other Civil and Environmental Engineering,"hydrology, dynamics, fluid, transport, modeling",Hydrology and Fluid Dynamics
Digital Circuits,"logic, gates, boolean, algebra, minimization",Combinational Logic Design
Digital Circuits,"flip-flop, register, counter, state, sequential",Sequential Circuit Elements
Digital Circuits,"vhdl, verilog, hdl, simulation, synthesis",Hardware Description Languages
Digital Circuits,"fpga, asic, reconfigurable, design, implementation",FPGA and ASIC Design
Digital Circuits,"power, dissipation, low-power, leakage, dynamic",Low Power Design
Digital Circuits,"timing, clock, synchronization, delay, critical",Timing Analysis and Clocking
Digital Circuits,"mosfet, transistor, inverter, cmos, technology",CMOS Circuit Technology
Hardware Systems,"architecture, processor, cache, cores, pipelining",Computer Architecture Design
Hardware Systems,"vlsi, logic, design, integration, mosfet",VLSI Circuit Design
Hardware Systems,"fpga, programmable, reconfigurable, hdl, synthesis",FPGA and Programmable Logic
Hardware Systems,"verification, testing, fault, simulation, formal",Hardware Verification and Testing
Hardware Systems,"soc, chip, interconnect, ip, subsystems",System-on-Chip Design
Hardware Systems,"memory, dram, non-volatile, hierarchy, storage",Advanced Memory Systems
Hardware Systems,"power, energy, thermal, efficiency, management",Low Power Hardware Design
Robotics,"human, interaction, social, haptics, collaboration",Human-Robot Interaction
Robotics,"localisation, mapping, slam, navigation, autonomous",Simultaneous Localisation & Mapping (SLAM)
Robotics,"learning, reinforcement, intelligence, algorithms, control",AI and Control Systems
Robotics,"manipulation, gripping, exoskeletons, rehabilitation, devices",Rehabilitation and Manipulation Robotics
Robotics,"vision, perception, image, sensing, tracking",Robot Vision and Perception
Robotics,"uavs, vehicles, aerospace, undersea, autonomous",Autonomous Aerial and Marine Vehicles
Robotics,"motion, planning, kinematics, dynamics, trajectory",Motion Planning and Dynamics
Other Computer Engineering,"hardware, software, interaction, co-design, embedded",Hardware-Software Co-Design
Other Computer Engineering,"systems, architecture, parallel, dependability, processing",Computer Systems Architecture
Other Computer Engineering,"networks, mobile, distributed, computing, communication",Distributed Network Computing
Other Computer Engineering,"os, kernel, compilers, virtualization, scheduling",Operating Systems & Compilers
Other Computer Engineering,"security, trust, cryptography, reliability, protection",Trust and Security Systems
Other Computer Engineering,"robotics, autonomous, intelligent, control, cybernetics",Autonomous Robotic Systems
Other Computer Engineering,"data, big, analytics, storage, management",Big Data Analytics
Biomedical,"imaging, mri, ct, ultrasound, diagnosis",Medical Imaging Technologies
Biomedical,"tissue, scaffolds, regeneration, biomaterials, engineering",Tissue Engineering and Biomaterials
Biomedical,"drug, delivery, nanoparticles, therapeutics, targeted",Targeted Drug Delivery Systems
Biomedical,"sensor, wearable, monitoring, physiological, health",Wearable Health Monitoring
Biomedical,"prosthetics, bionics, interface, motor, rehabilitation",Prosthetics and Motor Rehabilitation
Biomedical,"blood, flow, hemodynamics, cardiovascular, circulation",Cardiovascular Hemodynamics Analysis
Biomedical,"modeling, simulation, finite, element, mechanics",Computational Biomechanics Modeling
Controls and Control Theory,"stability, equilibrium, lyapunov, nonlinear, asymptotic",Nonlinear System Stability Analysis
Controls and Control Theory,"controller, tuning, pid, feedback, proportional",PID Controller Design
Controls and Control Theory,"state, space, controllability, observability, kalman",State Space System Modeling
Controls and Control Theory,"robust, uncertainty, h-infinity, design, performance",Robust Control Design
Controls and Control Theory,"adaptive, online, parameter, identification, learning",Adaptive Control Systems
Controls and Control Theory,"optimal, cost, minimization, dynamic, programming",Optimal Control Theory
Controls and Control Theory,"modeling, simulation, system, transfer, function",System Modeling and Analysis
Electrical and Electronics,"semiconductor, transistor, diode, fabrication, circuit",Semiconductor Devices and Circuits
Electrical and Electronics,"signal, processing, digital, analog, filter",Digital Signal Processing
Electrical and Electronics,"power, system, grid, generation, distribution",Electrical Power Systems
Electrical and Electronics,"antenna, wave, electromagnetic, frequency, propagation",Electromagnetic Waves and Antennas
Electrical and Electronics,"embedded, microcontroller, programming, hardware, real-time",Embedded Systems Design
Electrical and Electronics,"control, system, feedback, stability, automation",Control Systems Theory
Electrical and Electronics,"communication, wireless, network, modulation, channel",Wireless Communication Networks
Electromagnetics and Photonics,"antenna, array, design, radiation, gain",Antenna Design and Arrays
Electromagnetics and Photonics,"metamaterials, negative, index, cloaking, plasmonics",Advanced Metamaterials and Plasmonics
Electromagnetics and Photonics,"fiber, optic, communication, waveguide, dispersion",Fiber Optic Communications
Electromagnetics and Photonics,"laser, nonlinear, optics, femtosecond, pulse",Nonlinear Laser Physics
Electromagnetics and Photonics,"photonic, crystal, bandgap, microcavity, device",Photonic Crystals and Devices
Electromagnetics and Photonics,"electromagnetic, simulation, fourier, finite, difference",EM Simulation Techniques
Electromagnetics and Photonics,"radar, scattering, cross, section, detection",Radar Systems and Scattering
Electronic Devices and Semiconductor Manufacturing,"photolithography, exposure, etching, mask, wafer",Advanced Lithography Techniques
Electronic Devices and Semiconductor Manufacturing,"doping, implantation, diffusion, conductivity, transistor",Semiconductor Doping and Implantation
Electronic Devices and Semiconductor Manufacturing,"deposition, thin-film, cvd, ald, pvd",Thin Film Deposition Processes
Electronic Devices and Semiconductor Manufacturing,"silicon, sic, gan, compound, materials",Advanced Semiconductor Materials
Electronic Devices and Semiconductor Manufacturing,"finfet, mosfet, gate, scaling, device",Next-Generation Transistor Design
Electronic Devices and Semiconductor Manufacturing,"packaging, integration, heterogeneous, sip, wafer-level",IC Packaging and Heterogeneous Integration
Electronic Devices and Semiconductor Manufacturing,"contamination, defect, metrology, yield, cleanroom",Contamination Control and Yield
Power and Energy,"solar, photovoltaic, panel, efficiency, grid",Solar Energy Systems
Power and Energy,"wind, turbine, farm, offshore, aeroelasticity",Wind Power Generation
Power and Energy,"battery, storage, lithium, electrochemical, capacity",Energy Storage Technology
Power and Energy,"smart, grid, distribution, cybersecurity, control",Smart Grid Infrastructure
Power and Energy,"nuclear, fusion, fission, reactor, safety",Nuclear Energy Research
Power and Energy,"fuel, cell, hydrogen, electrolysis, proton",Hydrogen Fuel Cells
Power and Energy,"demand, response, management, load, optimization",Energy Demand Management
"VLSI and Circuits, Embedded and Hardware Systems","power, leakage, dynamic, optimization, efficiency",Low Power VLSI Design
"VLSI and Circuits, Embedded and Hardware Systems","verilog, vhdl, rtl, synthesis, timing",Hardware Description Language Design
"VLSI and Circuits, Embedded and Hardware Systems","microcontroller, firmware, rtos, hardware, realtime",Embedded Real-Time Systems
"VLSI and Circuits, Embedded and Hardware Systems","test, fault, design-for-test, bist, verification",VLSI Testing and Verification
"VLSI and Circuits, Embedded and Hardware Systems","fpga, programmable, reconfigurable, logic, array",FPGA and Programmable Logic
"VLSI and Circuits, Embedded and Hardware Systems","iot, sensor, network, edge, wireless",Embedded IoT and Sensing
"VLSI and Circuits, Embedded and Hardware Systems","layout, placement, routing, design-rule, mask",VLSI Physical Design
Other Electrical and Computer Engineering,"sensor, network, internet, things, data",IoT Sensor Networks
Other Electrical and Computer Engineering,"embedded, processor, microcontroller, firmware, real-time",Embedded Systems Design
Other Electrical and Computer Engineering,"quantum, computation, photon, qubit, information",Quantum Information Science
Other Electrical and Computer Engineering,"electromagnetics, wave, antenna, radio, frequency",Applied Electromagnetics & RF
Other Electrical and Computer Engineering,"cyber, physical, system, control, security",Cyberphysical Systems Security
Other Electrical and Computer Engineering,"mems, microsystem, fabrication, actuator, device",MEMS and Microsystems
Other Electrical and Computer Engineering,"trust, reliability, secure, verification, assurance",Trust and System Reliability
Dynamics and Dynamical Systems,"chaos, sensitivity, attractor, butterfly, lorenz",Theory of Chaos
Dynamics and Dynamical Systems,"bifurcation, stability, parameter, fixed, equilibria",Stability and Bifurcation Analysis
Dynamics and Dynamical Systems,"nonlinear, systems, control, perturbation, complex",Nonlinear Systems and Control
Dynamics and Dynamical Systems,"map, discrete, iterated, time, recurrence",Discrete Dynamical Systems
Dynamics and Dynamical Systems,"pde, reaction, diffusion, spatial, patterns",Spatial-Temporal Dynamics
Dynamics and Dynamical Systems,"delay, differential, memory, functional, time-lag",Delay Differential Equations
Dynamics and Dynamical Systems,"topological, conjugacy, invariants, entropy, symbolic",Topological Dynamics
Engineering Mechanics,"force, equilibrium, statics, rigid-body, non-moving",Statics of Rigid Bodies
Engineering Mechanics,"motion, kinematics, kinetics, velocity, acceleration",Dynamics and Motion Analysis
Engineering Mechanics,"stress, strain, deformation, material, structural",Stress and Strain Analysis
Engineering Mechanics,"finite, element, modeling, simulation, computational",Finite Element Analysis
Engineering Mechanics,"fluid, flow, dynamics, pressure, viscosity",Fluid Mechanics and Dynamics
Engineering Mechanics,"vibration, oscillation, resonance, frequency, damping",Vibration and Dynamics
Engineering Mechanics,"failure, fracture, fatigue, integrity, mechanisms",Mechanical Failure Analysis
Mechanics of Materials,"stress, strain, elasticity, tensor, yield",Stress and Strain Analysis
Mechanics of Materials,"fracture, fatigue, crack, toughness, propagation",Material Failure and Fracture
Mechanics of Materials,"composite, fiber, matrix, laminate, anisotropy",Composite Material Mechanics
Mechanics of Materials,"creep, viscoelasticity, relaxation, polymer, time-dependent",Viscoelasticity and Creep
Mechanics of Materials,"finite, element, modeling, simulation, numerical",Finite Element Modeling
Mechanics of Materials,"plasticity, hardening, deformation, dislocation, metal",Plasticity and Material Hardening
Mechanics of Materials,"microstructure, grain, crystal, phase, polycrystal",Microstructural Material Behavior
Other Engineering Science and Materials,"non-destructive, testing, ultrasonic, x-ray, evaluation",Non-Destructive Material Testing
Other Engineering Science and Materials,"tribology, friction, wear, lubrication, contact",Friction and Wear Tribology
Other Engineering Science and Materials,"composites, fiber, matrix, laminate, reinforcement",Advanced Composite Materials
Other Engineering Science and Materials,"corrosion, oxidation, galvanic, protection, degradation",Material Corrosion and Protection
Other Engineering Science and Materials,"rheology, viscosity, fluid, deformation, flow",Material Flow Rheology
Other Engineering Science and Materials,"spectroscopy, elemental, composition, thermal, characterization",Materials Characterization Techniques
Other Engineering Science and Materials,"fracture, mechanics, stress, fatigue, cracking",Fracture Mechanics and Fatigue
Ceramic Materials,"powder, sintering, densification, microstructure, processing",Ceramic Powder Processing & Sintering
Ceramic Materials,"alumina, zirconia, carbide, nitride, composite",Advanced Structural Ceramics
Ceramic Materials,"dielectric, ferroelectric, semiconductor, capacitor, electronic",Electronic and Dielectric Ceramics
Ceramic Materials,"mechanical, fracture, toughness, creep, strength",Ceramic Mechanical Properties
Ceramic Materials,"biomaterial, bone, scaffold, porous, implant",Bioceramics and Implants
Ceramic Materials,"fuel, electrolytes, catalysis, battery, energy",Ceramics for Energy Applications
Ceramic Materials,"coating, thermal, barrier, corrosion, oxidation",Protective Ceramic Coatings
Polymer and Organic Materials,"monomer, polymerization, chain, synthetic, reaction",Polymer Synthesis Techniques
Polymer and Organic Materials,"morphology, crystallinity, amorphous, structure, arrangement",Polymer Structure & Morphology
Polymer and Organic Materials,"mechanical, tensile, strength, modulus, properties",Mechanical Properties of Polymers
Polymer and Organic Materials,"conductivity, organic, electronics, semiconductor, device",Conductive Organic Materials
Polymer and Organic Materials,"biodegradable, environment, sustainable, biopolymer, recycling",Sustainable Polymer Materials
Polymer and Organic Materials,"thermal, glass, transition, melting, decomposition",Thermal Analysis of Polymers
Polymer and Organic Materials,"drug, delivery, hydrogel, biomedical, nanoparticle",Biomedical Polymer Applications
Semiconductor and Optical Materials,"bandgap, absorption, emission, photoluminescence, excitons",Semiconductor Optical Properties
Semiconductor and Optical Materials,"quantum, dots, wells, information, nanostructures",Quantum Nanomaterials & Devices
Semiconductor and Optical Materials,"fabrication, deposition, epitaxy, growth, characterization",Material Fabrication and Analysis
Semiconductor and Optical Materials,"photonics, devices, lasers, detectors, waveguides",Integrated Photonic Devices
Semiconductor and Optical Materials,"silicon, gallium, nitride, carbide, compounds",Compound Semiconductor Materials
Semiconductor and Optical Materials,"doping, defects, carriers, mobility, conductivity",Charge Carrier Dynamics
Semiconductor and Optical Materials,"refractive, index, transmittance, reflectance, scattering",Optical Material Parameters
Structural Materials,"concrete, reinforced, shear, seismic, damage",Reinforced Concrete and Seismic
Structural Materials,"steel, fatigue, fracture, welding, alloy",Steel Fracture and Fatigue
Structural Materials,"composite, heterogeneous, micromechanics, fiber, polymer",Composite Materials Micromechanics
Structural Materials,"creep, plasticity, viscoelasticity, deformation, stress",Material Deformation and Mechanics
Structural Materials,"corrosion, degradation, durability, oxidation, environment",Environmental Degradation of Materials
Structural Materials,"testing, non-destructive, ultrasonic, evaluation, inspection",Non-Destructive Material Testing
Structural Materials,"building, bridge, infrastructure, column, member",Structural Infrastructure Engineering
Other Materials Science and Engineering,"composite, polymer, filler, matrix, mechanical",Polymer Composite Materials
Other Materials Science and Engineering,"nanoparticle, synthesis, quantum, morphology, properties",Nanomaterials and Synthesis
Other Materials Science and Engineering,"corrosion, oxidation, surface, coating, protection",Material Corrosion Protection
Other Materials Science and Engineering,"additive, manufacturing, printing, layer, design",Additive Manufacturing Processes
Other Materials Science and Engineering,"biomaterial, implant, tissue, compatibility, scaffold",Biomaterial Development
Other Materials Science and Engineering,"tribology, wear, friction, lubrication, contact",Friction and Wear of Materials
Other Materials Science and Engineering,"superconductor, ceramic, transition, critical, current",Advanced Ceramic Materials
"Acoustics, Dynamics, and Controls","vibration, modal, frequency, damping, resonance",Structural Vibration Analysis
"Acoustics, Dynamics, and Controls","noise, sound, propagation, absorption, measurement",Acoustic Noise Control
"Acoustics, Dynamics, and Controls","feedback, pid, nonlinear, stability, robust",Advanced Control Systems
"Acoustics, Dynamics, and Controls","robotics, manipulator, kinematics, trajectory, path",Robotics Dynamics & Control
"Acoustics, Dynamics, and Controls","fluid, flow, turbulence, aerodynamics, hydrodynamics",Fluid Dynamics Research
"Acoustics, Dynamics, and Controls","sensors, actuators, smart, mems, systems",Smart Systems & Actuation
"Acoustics, Dynamics, and Controls","wave, scattering, diffraction, elastic, modeling",Wave Propagation Modeling
Biomechanical Engineering,"finite, element, analysis, stress, simulation",Finite Element Analysis
Biomechanical Engineering,"gait, analysis, motion, kinematics, dynamics",Human Gait and Motion
Biomechanical Engineering,"implant, biomaterials, tissue, interface, design",Biomaterial Implant Design
Biomechanical Engineering,"fluid, blood, flow, shear, hemodynamics",Cardiovascular Fluid Dynamics
Biomechanical Engineering,"muscle, force, contraction, skeletal, actuation",Musculoskeletal Force Modeling
Biomechanical Engineering,"cell, mechanics, load, signaling, adhesion",Cellular Mechanotransduction
Biomechanical Engineering,"prosthetics, orthotics, rehabilitation, assistive, robotics",Assistive Device Biomechanics
Computer-Aided Engineering and Design,"modeling, assembly, parametric, feature, geometry",Parametric Geometric Modeling
Computer-Aided Engineering and Design,"simulation, finite, element, stress, analysis",Finite Element Analysis
